location,date,stringency_index,reproduction_rate,new_deaths_smoothed_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,human_development_index,%_of_mixed_sentiments,%_of_negative_sentiments,%_of_neutral_sentiments,%_of_positive_sentiments
South Africa,29/1/2022,41.67,0.84,2.546,"","",0.709,0.653357532,41.70598911,48.78402904,8.856624319
Egypt,29/1/2022,43.52,1.27,0.323,-,"",0.707,0.653594771,38.5620915,53.26797386,7.516339869
Argentina,29/1/2022,35.19,0.69,5.429,-,87.98,0.845,0.250626566,38.84711779,54.63659148,6.26566416
Singapore,21/2/2022,60.19,1.28,1.205,14.669,91.24,0.938,2.355072464,24.81884058,63.4057971,9.420289855
United States,21/2/2022,58.8,0.54,5.645,"",76.43,0.926,0.791359213,45.43364346,47.36748298,6.407514348
Italy,21/2/2022,76.85,0.76,4.482,7.753,83.8,0.892,1.373283396,39.70037453,53.93258427,4.993757803
Germany,21/2/2022,84.26,0.97,2.248,18.82,75.6,0.947,0.958286359,37.59864713,53.26944758,8.17361894
Norway,21/2/2022,11.11,0.88,0.941,"",79.19,0.957,1.123595506,43.82022472,44.94382022,10.11235955
United Kingdom,21/2/2022,29.63,0.69,2.111,"",77.09,0.932,0.864134446,49.38397774,43.57009027,6.181797536
Australia,21/2/2022,51.39,0.99,1.673,-,85.28,0.944,1.982630055,45.28467409,45.45135538,7.281340468
Taiwan,21/2/2022,27.78,1.04,0.006,"",80.9,"",1.030927835,25.77319588,69.58762887,3.608247423
Hong Kong,21/2/2022,71.3,"",1.494,-,78.35,0.949,0.769230769,31.53846154,62.1978022,5.494505495
China,21/2/2022,64.35,2.14,0,-,"",0.761,2.155887231,38.30845771,55.38971808,4.145936982
Brazil,21/2/2022,69.91,0.78,3.85,-,82.44,0.765,0.492610837,31.5270936,58.62068966,9.359605911
France,21/2/2022,69.44,0.68,3.028,19.667,80,0.901,0.24600246,41.61541615,50.84050841,7.298072981
New Zealand,21/2/2022,62.04,2.33,0.084,-,82.82,0.931,1.030383091,46.18229855,45.62747688,7.15984148
South Korea,21/2/2022,46.3,1.58,0.961,7.153,87.4,0.916,0.380228137,21.29277567,68.44106464,9.885931559
Japan,21/2/2022,47.22,0.95,1.697,-,80.62,0.919,1.403508772,29.00584795,61.28654971,8.304093567
India,21/2/2022,71.76,0.35,0.306,-,69.11,0.645,0.451014783,29.80873632,62.51566024,7.224588658
Canada,21/2/2022,68.98,0.76,1.242,-,85.43,0.929,0.849710681,46.98952197,45.92608038,6.234686962
